"Day","NumVehicles"
"01-Nov-08",414144
"02-Nov-08",368204
"03-Nov-08",403180
"04-Nov-08",409408
"05-Nov-08",426276
"06-Nov-08",425136
"07-Nov-08",452444
"08-Nov-08",387224
"09-Nov-08",347244
"10-Nov-08",396776
"11-Nov-08",409012
"12-Nov-08",422828
"13-Nov-08",428044
"14-Nov-08",454352
"15-Nov-08",388264
"16-Nov-08",335392
"17-Nov-08",399080
"18-Nov-08",409124
"19-Nov-08",419804
"20-Nov-08",433588
"21-Nov-08",462268
"22-Nov-08",399032
"23-Nov-08",353948
"24-Nov-08",411092
"25-Nov-08",428160
"26-Nov-08",432368
"27-Nov-08",437960
"28-Nov-08",460192
"29-Nov-08",404644
"30-Nov-08",362932
"01-Dec-08",406864
"02-Dec-08",409988
"03-Dec-08",432340
"04-Dec-08",435244
"05-Dec-08",455220
"06-Dec-08",378624
"07-Dec-08",341344
"08-Dec-08",416560
"09-Dec-08",422000
"10-Dec-08",424184
"11-Dec-08",444800
"12-Dec-08",459204
"13-Dec-08",390636
"14-Dec-08",342128
"15-Dec-08",410340
"16-Dec-08",413984
"17-Dec-08",440464
"18-Dec-08",443216
"19-Dec-08",463964
"20-Dec-08",395228
"21-Dec-08",315612
"22-Dec-08",383084
"23-Dec-08",377048
"24-Dec-08",341812
"25-Dec-08",319248
"26-Dec-08",318788
"27-Dec-08",353116
"28-Dec-08",294684
"29-Dec-08",341044
"30-Dec-08",338988
"31-Dec-08",276388
"01-Jan-09",212392
"02-Jan-09",251580
"03-Jan-09",344316
"04-Jan-09",281704
"05-Jan-09",341220
"06-Jan-09",355716
"07-Jan-09",373596
"08-Jan-09",379944
"09-Jan-09",414108
"10-Jan-09",356328
"11-Jan-09",297512
"12-Jan-09",373788
"13-Jan-09",384332
"14-Jan-09",407796
"15-Jan-09",407436
"16-Jan-09",431380
"17-Jan-09",355268
"18-Jan-09",303096
"19-Jan-09",390416
"20-Jan-09",376904
"21-Jan-09",411756
"22-Jan-09",422108
"23-Jan-09",453792
"24-Jan-09",381644
"25-Jan-09",307348
"26-Jan-09",367784
"27-Jan-09",341412
"28-Jan-09",365436
"29-Jan-09",346176
"30-Jan-09",422560
"31-Jan-09",368684
"01-Feb-09",322440
"02-Feb-09",378976
"03-Feb-09",385884
"04-Feb-09",401248
"05-Feb-09",405784
"06-Feb-09",440916
"07-Feb-09",375984
"08-Feb-09",284084
"09-Feb-09",375884
"10-Feb-09",391904
"11-Feb-09",391588
"12-Feb-09",410016
"13-Feb-09",436252
"14-Feb-09",379204
"15-Feb-09",323480
"16-Feb-09",391944
"17-Feb-09",409932
"18-Feb-09",408732
"19-Feb-09",424244
"20-Feb-09",462592
"21-Feb-09",411084
"22-Feb-09",337440
"23-Feb-09",353324
"24-Feb-09",378996
"25-Feb-09",419076
"26-Feb-09",414504
"27-Feb-09",461408
"28-Feb-09",424588
"01-Mar-09",404040
"02-Mar-09",399392
"03-Mar-09",425064
"04-Mar-09",432816
"05-Mar-09",459444
"06-Mar-09",428844
"07-Mar-09",354508
"08-Mar-09",406452
"09-Mar-09",418228
"10-Mar-09",427772
"11-Mar-09",430064
"12-Mar-09",473120
"13-Mar-09",418152
"14-Mar-09",350408
"15-Mar-09",402468
"16-Mar-09",416052
"17-Mar-09",439424
"18-Mar-09",433176
"19-Mar-09",460120
"20-Mar-09",412140
"21-Mar-09",353224
"22-Mar-09",407580
"23-Mar-09",417992
"24-Mar-09",427968
"25-Mar-09",441244
"26-Mar-09",478036
"27-Mar-09",430440
"28-Mar-09",373508
"29-Mar-09",425760
"30-Mar-09",429988
"31-Mar-09",450316
"01-Apr-09",448156
"02-Apr-09",474144
"03-Apr-09",427076
"04-Apr-09",360596
"05-Apr-09",429528
"06-Apr-09",439260
"07-Apr-09",463412
"08-Apr-09",474660
"09-Apr-09",327924
"10-Apr-09",357780
"11-Apr-09",343788
"12-Apr-09",310312
"13-Apr-09",427148
"14-Apr-09",314028
"15-Apr-09",395616
"16-Apr-09",448132
"17-Apr-09",396080
"18-Apr-09",348684
"19-Apr-09",413532
"20-Apr-09",422896
"21-Apr-09",436528
"22-Apr-09",439684
"23-Apr-09",454100
"24-Apr-09",399904
"25-Apr-09",359856
"26-Apr-09",414008
"27-Apr-09",420316
"28-Apr-09",435628
"29-Apr-09",433836
"30-Apr-09",470512
"01-May-09",400292
"02-May-09",372268
"03-May-09",409692
"04-May-09",421864
"05-May-09",433600
"06-May-09",438692
"07-May-09",460176
"08-May-09",415020
"09-May-09",367792
"10-May-09",413248
"11-May-09",423768
"12-May-09",438772
"13-May-09",435900
"14-May-09",469880
"15-May-09",411288
"16-May-09",375820
"17-May-09",406044
"18-May-09",421516
"19-May-09",473424
"20-May-09",339064
"21-May-09",399916
"22-May-09",372252
"23-May-09",375468
"24-May-09",418752
"25-May-09",421916
"26-May-09",433028
"27-May-09",445316
"28-May-09",486052
"29-May-09",408888
"30-May-09",337904
"31-May-09",326388
"01-Jun-09",425876
"02-Jun-09",454284
"03-Jun-09",439980
"04-Jun-09",467484
"05-Jun-09",432872
"06-Jun-09",374728
"07-Jun-09",414932
"08-Jun-09",419284
"09-Jun-09",440040
"10-Jun-09",413068
"11-Jun-09",461604
"12-Jun-09",398264
"13-Jun-09",356128
"14-Jun-09",414740
"15-Jun-09",426744
"16-Jun-09",439648
"17-Jun-09",442056
"18-Jun-09",481936
"19-Jun-09",410108
"20-Jun-09",360228
"21-Jun-09",412544
"22-Jun-09",381632
"23-Jun-09",435700
"24-Jun-09",449032
"25-Jun-09",479068
"26-Jun-09",411244
"27-Jun-09",373520
"28-Jun-09",427916
"29-Jun-09",433028
"30-Jun-09",444808
"01-Jul-09",456308
"02-Jul-09",482492
"03-Jul-09",414324
"04-Jul-09",372544
"05-Jul-09",425548
"06-Jul-09",420944
"07-Jul-09",434508
"08-Jul-09",436952
"09-Jul-09",463348
"10-Jul-09",384456
"11-Jul-09",346880
"12-Jul-09",402260
"13-Jul-09",408616
"14-Jul-09",419732
"15-Jul-09",426604
"16-Jul-09",445176
"17-Jul-09",370520
"18-Jul-09",333908
"19-Jul-09",393276
"20-Jul-09",385996
"21-Jul-09",403200
"22-Jul-09",404044
"23-Jul-09",431732
"24-Jul-09",363680
"25-Jul-09",336988
"26-Jul-09",390168
"27-Jul-09",395572
"28-Jul-09",413604
"29-Jul-09",424508
"30-Jul-09",445948
"31-Jul-09",370328
"01-Aug-09",311856
"02-Aug-09",411364
"03-Aug-09",404584
"04-Aug-09",424180
"05-Aug-09",439136
"06-Aug-09",487604
"07-Aug-09",408844
"08-Aug-09",387944
"09-Aug-09",422900
"10-Aug-09",431480
"11-Aug-09",454612
"12-Aug-09",457068
"13-Aug-09",489108
"14-Aug-09",418792
"15-Aug-09",381676
"16-Aug-09",436968
"17-Aug-09",444576
"18-Aug-09",461040
"19-Aug-09",463816
"20-Aug-09",497612
"21-Aug-09",427808
"22-Aug-09",390396
"23-Aug-09",441080
"24-Aug-09",439848
"25-Aug-09",465056
"26-Aug-09",471176
"27-Aug-09",503580
"28-Aug-09",442832
"29-Aug-09",393800
"30-Aug-09",438228
"31-Aug-09",450608
"01-Sep-09",466776
"02-Sep-09",472408
"03-Sep-09",511012
"04-Sep-09",456964
"05-Sep-09",429168
"06-Sep-09",449596
"07-Sep-09",451016
"08-Sep-09",467344
"09-Sep-09",469836
"10-Sep-09",497784
"11-Sep-09",425696
"12-Sep-09",385712
"13-Sep-09",441820
"14-Sep-09",445188
"15-Sep-09",461716
"16-Sep-09",469516
"17-Sep-09",504240
"18-Sep-09",433584
"19-Sep-09",378400
"20-Sep-09",441812
"21-Sep-09",444940
"22-Sep-09",463144
"23-Sep-09",465300
"24-Sep-09",501996
"25-Sep-09",435772
"26-Sep-09",380056
"27-Sep-09",437828
"28-Sep-09",442428
"29-Sep-09",453956
"30-Sep-09",460932
"01-Oct-09",494760
"02-Oct-09",428544
"03-Oct-09",384808
"04-Oct-09",435084
"05-Oct-09",442788
"06-Oct-09",449060
"07-Oct-09",458488
"08-Oct-09",484388
"09-Oct-09",412432
"10-Oct-09",360888
"11-Oct-09",441456
"12-Oct-09",449324
"13-Oct-09",467608
"14-Oct-09",473872
"15-Oct-09",498152
"16-Oct-09",419776
"17-Oct-09",362388
"18-Oct-09",440652
"19-Oct-09",443712
"20-Oct-09",461332
"21-Oct-09",467584
"22-Oct-09",496236
"23-Oct-09",419612
"24-Oct-09",378256
"25-Oct-09",443808
"26-Oct-09",452284
"27-Oct-09",475740
"28-Oct-09",481424
"29-Oct-09",518476
"30-Oct-09",441836
"31-Oct-09",383348
"01-Nov-09",458908
"02-Nov-09",444016
"03-Nov-09",461900
"04-Nov-09",464656
"05-Nov-09",489744
"06-Nov-09",408204
"07-Nov-09",357632
"08-Nov-09",437028
"09-Nov-09",436888
"10-Nov-09",457308
"11-Nov-09",463100
"12-Nov-09",487764
"13-Nov-09",395124
"14-Nov-09",366732
"15-Nov-09",443800
"16-Nov-09",445004
"17-Nov-09",459756
"18-Nov-09",472240
"19-Nov-09",486728
"20-Nov-09",396440
"21-Nov-09",353892
"22-Nov-09",439092
"23-Nov-09",442864
"24-Nov-09",458996
"25-Nov-09",476340
"26-Nov-09",504024
"27-Nov-09",423248
"28-Nov-09",370972
"29-Nov-09",440492
"30-Nov-09",448456
"01-Dec-09",462808
"02-Dec-09",471656
"03-Dec-09",495148
"04-Dec-09",411720
"05-Dec-09",371720
"06-Dec-09",440308
"07-Dec-09",453620
"08-Dec-09",474388
"09-Dec-09",472692
"10-Dec-09",492168
"11-Dec-09",406288
"12-Dec-09",363944
"13-Dec-09",443700
"14-Dec-09",451520
"15-Dec-09",472072
"16-Dec-09",479748
"17-Dec-09",497144
"18-Dec-09",399140
"19-Dec-09",334700
"20-Dec-09",427552
"21-Dec-09",448096
"22-Dec-09",462336
"23-Dec-09",452636
"24-Dec-09",385308
"25-Dec-09",364856
"26-Dec-09",359904
"27-Dec-09",368748
"28-Dec-09",368452
"29-Dec-09",376304
"30-Dec-09",384268
"31-Dec-09",310384
"01-Jan-10",271840
"02-Jan-10",333308
"03-Jan-10",367284
"04-Jan-10",377248
"05-Jan-10",403844
"06-Jan-10",410328
"07-Jan-10",438148
"08-Jan-10",385064
"09-Jan-10",327004
"10-Jan-10",407264
"11-Jan-10",417604
"12-Jan-10",433100
"13-Jan-10",441032
"14-Jan-10",469708
"15-Jan-10",379292
"16-Jan-10",328584
"17-Jan-10",425008
"18-Jan-10",426424
"19-Jan-10",428220
"20-Jan-10",440064
"21-Jan-10",471432
"22-Jan-10",381668
"23-Jan-10",311676
"24-Jan-10",375008
"25-Jan-10",395468
"26-Jan-10",423848
"27-Jan-10",434896
"28-Jan-10",466172
"29-Jan-10",394020
"30-Jan-10",313356
"31-Jan-10",407676
"01-Feb-10",392540
"02-Feb-10",407668
"03-Feb-10",424244
"04-Feb-10",464592
"05-Feb-10",408004
"06-Feb-10",308924
"07-Feb-10",401424
"08-Feb-10",411832
"09-Feb-10",421672
"10-Feb-10",430356
"11-Feb-10",467208
"12-Feb-10",414520
"13-Feb-10",304376
"14-Feb-10",390204
"15-Feb-10",386956
"16-Feb-10",402784
"17-Feb-10",428716
"18-Feb-10",461428
"19-Feb-10",396596
"20-Feb-10",320844
"21-Feb-10",402716
"22-Feb-10",407100
"23-Feb-10",421700
"24-Feb-10",440860
"25-Feb-10",476216
"26-Feb-10",417972
"27-Feb-10",317096
"28-Feb-10",418912
"01-Mar-10",432432
"02-Mar-10",442868
"03-Mar-10",453888
"04-Mar-10",483472
"05-Mar-10",417744
"06-Mar-10",329508
"07-Mar-10",424088
"08-Mar-10",419864
"09-Mar-10",447060
"10-Mar-10",464108
"11-Mar-10",496756
"12-Mar-10",433480
"13-Mar-10",362044
"14-Mar-10",438396
"15-Mar-10",447392
"16-Mar-10",472920
"17-Mar-10",477528
"18-Mar-10",513020
"19-Mar-10",452348
"20-Mar-10",381080
"21-Mar-10",456204
"22-Mar-10",467944
"23-Mar-10",497972
"24-Mar-10",509416
"25-Mar-10",344684
"26-Mar-10",389184
"27-Mar-10",351688
"28-Mar-10",361924
"29-Mar-10",465312
"30-Mar-10",485304
"31-Mar-10",484472
"01-Apr-10",516036
"02-Apr-10",444528
"03-Apr-10",384908
"04-Apr-10",458292
"05-Apr-10",463244
"06-Apr-10",481844
"07-Apr-10",481152
"08-Apr-10",501240
"09-Apr-10",415776
"10-Apr-10",365876
"11-Apr-10",448028
"12-Apr-10",454216
"13-Apr-10",465636
"14-Apr-10",474124
