querycode,query,num_ads,num_clicks,num_impressions,num_word,brand,location,log_trans,avg_ad_quality,log_imp,avg_num_ads,categoryid
1,yellow pages,124614,6984,15943,2,1,0,2.3025851,0.05732561,9.6767751,7.7962115,10
2,sears,83599,6149,12498,1,1,0,3.8501476,0.07572037,9.4333239,6.6594655,8
3,lowes,108271,6095,14019,1,0,0,3.6375862,0.06017457,9.5481688,7.7056851,13
4,white pages,114079,5362,14676,2,0,1,2.5649494,0.04956773,9.5939688,7.7540202,10
5,verizon wireless,78519,4589,9916,2,1,0,3.3322045,0.06531274,9.2019049,7.8947156,11
6,walmart,141624,4284,24851,1,1,0,3.4011974,0.02957067,10.120653,5.692286,8
7,map quest,95539,4221,25120,2,1,0,2.0794415,0.03803787,10.13142,3.789371,18
8,staples,37062,3834,6846,1,1,1,3.1354942,0.10667664,8.8314198,5.3936605,8
9,travelocity,67370,3627,8669,1,1,0,4.1588831,0.05692789,9.0675087,7.7545276,4
10,kohls,39373,3263,7637,1,0,0,3.7376696,0.08357674,8.9407601,5.1220374,8
11,circuit city,27842,3220,8796,2,0,0,3.6375862,0.12307432,9.0820524,3.14211,10
12,firefox,36639,3108,4699,1,0,0,1.6094379,0.08699509,8.455105,7.7424984,11
13,kelly blue book,48841,2918,7046,3,1,1,4.8362819,0.05637637,8.8602154,6.9142776,2
14,limewire,47988,2883,6084,1,0,0,2.3978953,0.05735934,8.7134177,7.8408941,11
15,netflix,7380,2761,6215,1,1,0,2.9957323,0.38654632,8.734721,1.1607401,3
16,office depot,6515,2482,5483,2,1,0,3.6375862,0.38988667,8.6094077,1.1657852,13
17,old navy,23566,2408,5509,2,1,0,3.6635616,0.10441903,8.6141384,4.2617535,8
18,weather,120285,2371,15646,1,0,0,1.6094379,0.01982882,9.6579706,7.6767864,18
19,orbitz,6356,2341,5351,1,1,0,3.7841896,0.38354483,8.5850387,1.168006,4
20,7 wonders world,104563,2247,23873,3,0,0,0.69314718,0.01160091,10.080503,4.3723034,19
21,mapquest,197124,2164,80601,1,1,0,2.1972246,0.00891853,11.297266,2.444188,18
22,kmart,31114,2157,4880,1,1,0,3.7841896,0.05648731,8.4929005,6.3381148,8
23,united airlines,40694,2133,5159,2,1,0,3.2580965,0.05623949,8.548498,7.8672223,4
24,games,66610,2066,8431,1,0,0,1.0986123,0.02354768,9.0396707,7.8739177,5
25,verizon,70556,2003,8932,1,1,0,2.944439,0.0193258,9.0973956,7.8807658,11
26,yahoo mail,39120,1931,29095,2,0,0,1.7917595,0.02128375,10.278322,1.3409177,11
27,people search,35152,1924,4457,2,0,0,1.3862944,0.04037366,8.4022312,7.8411488,6
28,paypal,28112,1759,4731,1,0,0,3.9512437,0.0654755,8.4618919,5.9351089,9
29,office max,21899,1724,3309,2,1,1,3.4657359,0.08366083,8.1044013,6.5929284,13
30,cingular,32199,1701,9669,1,0,0,2.7080502,0.05340729,9.1766802,3.3204054,11
31,eharmony,23464,1678,4375,1,0,0,0.69314718,0.06974886,8.3836618,5.3494857,6
32,direct tv,9766,1668,3272,2,1,0,3.2188758,0.17967708,8.0931567,2.9605746,3
33,blockbuster,29444,1583,3898,1,1,0,3.1354942,0.05661009,8.2682189,7.5269369,3
34,halloween costum,25720,1578,3277,2,0,0,3.3672958,0.06149025,8.0946836,7.8010375,16
35,cheap tickets,25639,1547,3251,2,0,0,5.123964,0.06541611,8.0867179,7.8625038,4
36,weight watchers,28790,1534,3651,2,1,0,2.1972246,0.05723175,8.2027564,7.8537387,1
37,nordstrom,4234,1504,2936,1,1,0,3.5263605,0.35576532,7.9848034,1.4294959,17
38,bank of america,193965,1493,32872,3,1,0,2.7080502,0.0101938,10.400377,5.8985459,9
39,toyota,27518,1493,3962,1,1,0,2.7080502,0.05231487,8.2845042,6.9278142,2
40,us airways,26974,1477,3429,2,0,0,2.7080502,0.06232975,8.140024,7.8471858,4
41,pogo,29693,1455,11391,1,0,0,2.0794415,0.05319246,9.3405788,2.600913,5
42,windows vista,144221,1376,21210,2,0,0,2.7080502,0.01081961,9.962228,6.793918,11
43,aaa,6011,1360,2482,1,0,0,3.0910425,0.22894885,7.81682,2.4073328,4
44,barnes and noble,7307,1341,3744,3,0,1,3.6635616,0.17965566,8.2279098,1.9399038,19
45,monster,4591,1339,4006,1,0,0,2.0794415,0.29438107,8.2955485,1.1385422,5
46,pottery barn,14040,1321,3031,2,0,0,3.912023,0.09323459,8.0166479,4.6176179,8
47,hotels,16381,1313,2068,1,0,0,3.988984,0.07882076,7.6343372,7.8863636,4
48,gap,13916,1265,2626,1,0,0,3.1354942,0.08993329,7.8732171,5.280655,8
49,avg,18243,1246,2296,1,0,0,2.6390573,0.05146442,7.7389238,7.8906794,11
50,radio shack,19874,1173,2596,2,1,0,2.7725887,0.06252101,7.8617271,7.6406009,11
51,delta airlines,38014,1153,4827,2,1,1,3.2188758,0.03303547,8.4819804,7.8628548,4
52,altigen,6222,1108,728,1,0,0,2.7725887,0.19086817,6.590301,7.9368132,11
53,goggle,28656,1101,11262,1,1,0,2.0794415,0.02769728,9.3291895,2.5372936,17
54,check yahoo mail,10851,1094,5377,3,0,0,1.3862944,0.01531002,8.5898859,2.0039055,11
55,scottrade,2446,1083,1866,1,1,0,3.4339872,0.45130511,7.5315524,1.2968917,9
56,zappos,17545,1044,2236,1,1,0,3.4657359,0.06164863,7.7124438,7.8260286,17
57,chase,51066,1041,7430,1,1,0,1.9459101,0.02273101,8.9132811,6.8676985,9
58,jet blue,21845,1029,3144,2,1,0,3.2580965,0.05379895,8.0532512,6.9344784,4
59,jetblue,17720,1027,2548,1,1,0,3.2580965,0.05517652,7.843064,6.9324961,4
